medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country,country_long
Silver Medal,2,2024-07-27,Summer McINTOSH,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1967140,CAN,Canada,Canada
Bronze Medal,3,2024-07-27,Katie LEDECKY,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1935938,USA,United States,United States of America
Gold Medal,1,2024-07-28,Korea,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,ARCWTEAM3---KOR01,KOR,Korea,Republic of Korea
Silver Medal,2,2024-07-28,China,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000100--,ARCWTEAM3---CHN01,CHN,China,People's Republic of China
Bronze Medal,3,2024-07-28,Mexico,W,Archery,Women's Team,HTEAM,/en/paris-2024/results/archery/women-s-team/fnl-000200--,ARCWTEAM3---MEX01,MEX,Mexico,Mexico
Gold Medal,1,2024-07-28,Jessica FOX,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1940205,AUS,Australia,Australia
Silver Medal,2,2024-07-28,Klaudia ZWOLINSKA,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1942126,POL,Poland,Poland
Bronze Medal,3,2024-07-28,Kimberley WOODS,W,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1896045,GBR,Great Britain,Great Britain
Gold Medal,1,2024-07-28,Pauline FERRAND PREVOT,W,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1895672,FRA,France,France
Silver Medal,2,2024-07-28,Haley BATTEN,W,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1955070,USA,United States,United States of America
Bronze Medal,3,2024-07-28,Jenny RISSVEDS,W,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1564023,SWE,Sweden,Sweden
Gold Medal,1,2024-07-28,KANO Koki,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1896548,JPN,Japan,Japan
Silver Medal,2,2024-07-28,Yannick BOREL,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1916194,FRA,France,France
Bronze Medal,3,2024-07-28,Mohamed ELSAYED,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000200--,1936462,EGY,Egypt,Egypt
Gold Medal,1,2024-07-28,Lee KIEFER,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950611,USA,United States,United States of America
Silver Medal,2,2024-07-28,Lauren SCRUGGS,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950643,USA,United States,United States of America
Bronze Medal,3,2024-07-28,Eleanor HARVEY,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000200--,1973213,CAN,Canada,Canada
Gold Medal,1,2024-07-28,ABE Hifumi,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1896763,JPN,Japan,Japan
Silver Medal,2,2024-07-28,Willian LIMA,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1953840,BRA,Brazil,Brazil
Bronze Medal,3,2024-07-28,Gusman KYRGYZBAYEV,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000100--,1935410,KAZ,Kazakhstan,Kazakhstan
Bronze Medal,3,2024-07-28,Denis VIERU,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000200--,1561138,MDA,Republic of Moldova,Republic of Moldova
Gold Medal,1,2024-07-28,Diyora KELDIYOROVA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1566997,UZB,Uzbekistan,Uzbekistan
Silver Medal,2,2024-07-28,Distria KRASNIQI,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1550162,KOS,Kosovo,Kosovo
Bronze Medal,3,2024-07-28,Larissa PIMENTA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000100--,1953817,BRA,Brazil,Brazil
Bronze Medal,3,2024-07-28,Amandine BUCHARD,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000200--,1891283,FRA,France,France
Gold Medal,1,2024-07-28,XIE Yu,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1913907,CHN,China,People's Republic of China
Silver Medal,2,2024-07-28,Federico Nilo MALDINI,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551388,ITA,Italy,Italy
Bronze Medal,3,2024-07-28,Paolo MONNA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551387,ITA,Italy,Italy
Gold Medal,1,2024-07-28,OH Ye Jin,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893972,KOR,Korea,Republic of Korea
Silver Medal,2,2024-07-28,KIM Yeji,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893930,KOR,Korea,Republic of Korea
Bronze Medal,3,2024-07-28,Manu BHAKER,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1538159,IND,India,India
Gold Medal,1,2024-07-28,YOSHIZAWA Coco,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902055,JPN,Japan,Japan
Silver Medal,2,2024-07-28,AKAMA Liz,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902069,JPN,Japan,Japan
Bronze Medal,3,2024-07-28,Rayssa LEAL,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1955689,BRA,Brazil,Brazil
Gold Medal,1,2024-07-28,Nicolo MARTINENGHI,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1925633,ITA,Italy,Italy
Silver Medal,2,2024-07-28,Adam PEATY,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1956469,GBR,Great Britain,Great Britain
Silver Medal,2,2024-07-28,Nic FINK,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1935901,USA,United States,United States of America
Gold Medal,1,2024-07-28,Leon MARCHAND,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1909294,FRA,France,France
Silver Medal,2,2024-07-28,MATSUSHITA Tomoyuki,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1963635,JPN,Japan,Japan
Bronze Medal,3,2024-07-28,Carson FOSTER,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1935903,USA,United States,United States of America
Gold Medal,1,2024-07-28,Torri HUSKE,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935923,USA,United States,United States of America
Silver Medal,2,2024-07-28,Gretchen WALSH,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935998,USA,United States,United States of America
Bronze Medal,3,2024-07-28,ZHANG Yufei,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1945125,CHN,China,People's Republic of China
Gold Medal,1,2024-07-29,Korea,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---KOR01,KOR,Korea,Republic of Korea
Silver Medal,2,2024-07-29,France,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---FRA01,FRA,France,France
Bronze Medal,3,2024-07-29,Türkiye,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000200--,ARCMTEAM3---TUR01,TUR,Türkiye,Türkiye
Gold Medal,1,2024-07-29,Japan,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----JPN01,JPN,Japan,Japan
Silver Medal,2,2024-07-29,China,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----CHN01,CHN,China,People's Republic of China
Bronze Medal,3,2024-07-29,United States,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----USA01,USA,United States,United States of America
Gold Medal,1,2024-07-29,Nicolas GESTIN,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1880479,FRA,France,France
Silver Medal,2,2024-07-29,Adam BURGESS,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1896030,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-07-29,Matej BENUS,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1961080,SVK,Slovakia,Slovakia
Gold Medal,1,2024-07-29,Thomas PIDCOCK,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1912546,GBR,Great Britain,Great Britain
Silver Medal,2,2024-07-29,Victor KORETZKY,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1895687,FRA,France,France
Bronze Medal,3,2024-07-29,Alan HATHERLY,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1943604,RSA,South Africa,South Africa
Gold Medal,1,2024-07-29,China,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CHN01,CHN,China,People's Republic of China
Silver Medal,2,2024-07-29,Great Britain,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2GBR01,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-07-29,Canada,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CAN01,CAN,Canada,Canada
Gold Medal,1,2024-07-29,Michael JUNG,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1914921,GER,Germany,Germany
Silver Medal,2,2024-07-29,Christopher BURTON,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1940438,AUS,Australia,Australia
Bronze Medal,3,2024-07-29,Laura COLLETT,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1970898,GBR,Great Britain,Great Britain
Gold Medal,1,2024-07-29,Great Britain,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMGBR01,GBR,Great Britain,Great Britain
Silver Medal,2,2024-07-29,France,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMFRA01,FRA,France,France
Bronze Medal,3,2024-07-29,Japan,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMJPN01,JPN,Japan,Japan
Gold Medal,1,2024-07-29,CHEUNG Ka Long,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1963245,HKG,"Hong Kong, China","Hong Kong, China"
Silver Medal,2,2024-07-29,Filippo MACCHI,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1924289,ITA,Italy,Italy
Bronze Medal,3,2024-07-29,Nick ITKIN,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000200--,1950602,USA,United States,United States of America
Gold Medal,1,2024-07-29,Manon APITHY-BRUNET,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916223,FRA,France,France
Silver Medal,2,2024-07-29,Sara BALZER,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916222,FRA,France,France
Bronze Medal,3,2024-07-29,Olga KHARLAN,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--,1897644,UKR,Ukraine,Ukraine
Gold Medal,1,2024-07-29,Hidayat HEYDAROV,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1972337,AZE,Azerbaijan,Azerbaijan
Silver Medal,2,2024-07-29,Joan-Benjamin GABA,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1891311,FRA,France,France
Bronze Medal,3,2024-07-29,Adil OSMANOV,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000100--,1563437,MDA,Republic of Moldova,Republic of Moldova
Bronze Medal,3,2024-07-29,HASHIMOTO Soichi,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000200--,1896740,JPN,Japan,Japan
Gold Medal,1,2024-07-29,Christa DEGUCHI,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1955526,CAN,Canada,Canada
Silver Medal,2,2024-07-29,HUH Mimi,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1928067,KOR,Korea,Republic of Korea
Bronze Medal,3,2024-07-29,FUNAKUBO Haruka,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000100--,1896733,JPN,Japan,Japan
Bronze Medal,3,2024-07-29,Sarah Leonie CYSIQUE,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000200--,1891286,FRA,France,France
Gold Medal,1,2024-07-29,SHENG Lihao,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1913899,CHN,China,People's Republic of China
Silver Medal,2,2024-07-29,Victor LINDGREN,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1572919,SWE,Sweden,Sweden
Bronze Medal,3,2024-07-29,Miran MARICIC,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1888047,CRO,Croatia,Croatia
Gold Medal,1,2024-07-29,BAN Hyojin,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1893845,KOR,Korea,Republic of Korea
Silver Medal,2,2024-07-29,HUANG Yuting,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1913945,CHN,China,People's Republic of China
Bronze Medal,3,2024-07-29,Audrey GOGNIAT,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1976545,SUI,Switzerland,Switzerland
Gold Medal,1,2024-07-29,HORIGOME Yuto,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1902081,JPN,Japan,Japan
Silver Medal,2,2024-07-29,Jagger EATON,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944226,USA,United States,United States of America
Bronze Medal,3,2024-07-29,Nyjah HUSTON,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944232,USA,United States,United States of America
Gold Medal,1,2024-07-29,Thomas CECCON,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1925635,ITA,Italy,Italy
Silver Medal,2,2024-07-29,XU Jiayu,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1945132,CHN,China,People's Republic of China
Bronze Medal,3,2024-07-29,Ryan MURPHY,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1935957,USA,United States,United States of America
Gold Medal,1,2024-07-29,David POPOVICI,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1543549,ROU,Romania,Romania
Silver Medal,2,2024-07-29,Matthew RICHARDS,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1903617,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-07-29,Luke HOBSON,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1935918,USA,United States,United States of America
Gold Medal,1,2024-07-29,Tatjana SMITH,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1962589,RSA,South Africa,South Africa
Silver Medal,2,2024-07-29,TANG Qianting,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1945200,CHN,China,People's Republic of China
Bronze Medal,3,2024-07-29,Mona Mc SHARRY,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1543304,IRL,Ireland,Ireland
Gold Medal,1,2024-07-29,Mollie O'CALLAGHAN,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946218,AUS,Australia,Australia
Silver Medal,2,2024-07-29,Ariarne TITMUS,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946150,AUS,Australia,Australia
